title	author	publisher	pub_date	sudoc	digagent	contributor	ht_link	availability
Survey of local finance in Illinois ...	Illinois. State Tax Commission. United States. Work Projects Administration (Ill.)	F. J. Riley printing co.,	1939		google	UIUC	https://catalog.hathitrust.org/Record/1346549	Full View
Initial reports of the Deep Sea Drilling Project	Scripps Institution of Oceanography. Joint Oceanographic Institutions for Deep Earth Sampling. National Ocean Sediment Coring Program. Deep Sea Drilling Project.	National Science Foundation; for sale by the Supt. of Docs., U. S. Govt. Print. Off.,	1978		google	UVA	https://catalog.hathitrust.org/Record/101995363	Limited View
The comparative pathology of zoo animals	Symposium on the Comparative Pathology of Zoo Animals (1978 : National Zoological Park, Smithsonian Institution) Migaki, George Montali, Richard J National Zoological Park (U.S.)	Smithsonian Institution Press,	1980		google	UCSD	https://catalog.hathitrust.org/Record/138794	Limited View
American Hospital Association/Bureau of Health Education health education project	Reimbursement Forum (1979 : Chicago) Center for Disease Control. Bureau of Health Education. American Hospital Association.	The Bureau,	1980		google	OSU	https://catalog.hathitrust.org/Record/231554	Limited View
Table of Ji₀(x) = [Integral] [x to infinity] J₀(t)dt/t and related functions	Lowan, Arnold Noah, 1898- Abramowitz, Milton, 1915-1958. Blanch, G. (Gertrude), 1897-1996. Mathematical Tables Project (U.S.)	U. S. National bureau of standards,	1949		google	MIU	https://catalog.hathitrust.org/Record/434691	Limited View
Finding, managing, and studying prehistoric cultural resources at El Dorado Lake, Kansas (phase I)	University of Kansas. Museum of Anthropology. Drew, Darrell. Leaf, Gary R. United States. Army. Corps of Engineers. Tulsa District.	University of Kansas, Museum of Anthropology,	1979		google	MIU	https://catalog.hathitrust.org/Record/707924	Limited View
A Bibliography and indexes of United States congressional committee prints	Halvorson, Gary. Field, Rochelle. United States. Congress. Senate. Library.	Greenwood Press,	1976		google	UCSC	https://catalog.hathitrust.org/Record/722084	Limited View
Program to improve and increase student and faculty involvement in library use	University of Colorado Libraries. Lubans, John. National Endowment for the Humanities. Council on Library Resources.	University of Colorado Libraries,	1978		google	MIU	https://catalog.hathitrust.org/Record/726485	Limited View
Fulbright lecturing and research awards abroad, 1982-1983	Council for International Exchange of Scholars.	Council for International Exchange of Scholars,	1981		google	MIU	https://catalog.hathitrust.org/Record/735672	Limited View
Tests in the arts	Johnson, Thomas J., 1929- Hess, Robert James, 1945- Central Midwestern Regional Educational Laboratory.	Central Midwestern Regional Educational Laboratory,	1971		google	MIU	https://catalog.hathitrust.org/Record/736826	Limited View
Industrial development districts, Miami, Florida	Jacknin and Company. United States. Economic Development Administration. Ben Dyer Associates.		1968		google	MIU	https://catalog.hathitrust.org/Record/775936	Limited View
Humidity and moisture: measurement and control in science and industry	International Symposium on Humidity and Moisture (1963 : Washington, D.C.) Wexler, Arnold. United States. National Bureau of Standards.	Reinhold Pub. Corp.	1965		google	MIU	https://catalog.hathitrust.org/Record/777087	Limited View
Union list of current Japanese periodicals in the East Asian libraries of Columbia, Harvard, Princeton, and Yale Universities	Japan-United States Friendship Commission. Eastern States Libraries Consortium.	s.n.,	1985		google	MIU	https://catalog.hathitrust.org/Record/791237	Limited View
Proven exemplary educational programs and practices	United States. National Diffusion Network. Michigan. State Board of Education.	Michigan State Board of Education,	1986		google	MIU	https://catalog.hathitrust.org/Record/840021	Limited View
Hydrology of five Illinois water supply reservoirs	Roberts, Wyndham J. (Wyndham John) Geological Survey (U.S.)		1948		google	UIUC	https://catalog.hathitrust.org/Record/849318	Limited View
Ronald Reagan's weekly radio addresses	Reagan, Ronald. Israel, Fred L. United States. President (1981-1989 : Reagan)	Scholarly Resources Inc.,	1987		google	MIU	https://catalog.hathitrust.org/Record/852071	Limited View
A catalogue of the United States Library of Congress collection of Tibetan literature in microfiche	Tachikawa, Musashi. Onoda, Shunzō. Khangkar, Tsultrim Kelsang. University of Pennsylvania. Library. Library of Congress.	International Institute for Buddhist Studies,	1983		google	MIU	https://catalog.hathitrust.org/Record/875864	Limited View
Archeological testing at the Fairchild Site (LA 45732), Otero County, New Mexico	Anyon, Roger, 1952- Winter, Joseph C. Bertram, Jack B. United States. Army. Corps of Engineers. Albuquerque District.	Office of Contract Archeology, University of New Mexico,	1985		google	INU	https://catalog.hathitrust.org/Record/878728	Limited View
Antiquities of the Ouachita Valley	Moore, Clarence B. (Clarence Bloomfield), 1852-1936. Hrdlička, Aleš, 1869-1943. United States National Museum.	P.C. Stockhausen,	1909		google	UIUC	https://catalog.hathitrust.org/Record/902042	Full View
The Human figure in early Greek art	National Gallery of Art (U.S.)	Greek Ministry of Culture ; National Gallery of Art,	1988		google	UIUC	https://catalog.hathitrust.org/Record/902679	Limited View
Library of Congress classification schedules: a cumulation of additions and changes ...	Gale Research Company. Library of Congress. Subject Cataloging Division.	Gale Research Co.,	1973		google	MIU	https://catalog.hathitrust.org/Record/921277	Limited View
Pesticide fact handbook	United States. Environmental Protection Agency.	Noyes,	1988		google	MIU	https://catalog.hathitrust.org/Record/925723	Limited View
The Iranian military under the Islamic Republic	Schahgaldian, Nikola B. Barkhordarian, Gina. Rand Corporation. United States. Office of the Under Secretary of Defense for Policy.	Rand Corporation,	1987		google	MIU	https://catalog.hathitrust.org/Record/927302	Limited View
Water resources of Van Buren County, Michigan	Giroux, P. R. Geological Survey (U.S.)	Geological Survey,	1964		google	MIU	https://catalog.hathitrust.org/Record/949335	Limited View
Facts on smoking, tobacco, and health	Hedrick, James L. Resource Management Corporation. National Clearinghouse for Smoking and Health.	Resource Management Corp.,	1968		google	UIUC	https://catalog.hathitrust.org/Record/957936	Limited View
Survey of India's export potential of spices	Marketing Research Corporation of India ltd. India. Ministry of Commerce. USAID/India. Export Promotion Division.		1968		google	MIU	https://catalog.hathitrust.org/Record/958011	Limited View
The impact of the Library services act	Allerton Park Institute (8th : 1961) Strout, Donald Everett, 1909- United States. Office of Education. Library Services Branch. University of Illinois (Urbana-Champaign campus). Graduate School of Library Science. Illinois. University. Robert Allerton Park.	Distributed by by the Illini Union Bookstore,	1962		google	MIU	https://catalog.hathitrust.org/Record/962211	Limited View
Transportation remuneration incentive program	West Virginia. Department of Welfare. United States. Administration on Aging.	The Dept.;	1975		google	MIU	https://catalog.hathitrust.org/Record/965859	Limited View
Preliminary report of the Vermont state-wide highway planning survey	Vermont state-wide highway planning survey. United States. Bureau of Public Roads. Vermont. State Highway Board.		1938		google	UIUC	https://catalog.hathitrust.org/Record/968508	Limited View
The new case for increased railroad rates	Willard, Daniel, 1861-1942. United States. Interstate Commerce Commission. Committee of railroad presidents (Eastern railroads)		1914		google	NRLF	https://catalog.hathitrust.org/Record/969582	Limited View
The case for increased railroad rates	Willard, Daniel, 1861-1942. United States. Interstate Commerce Commission. Committee of Railroad Presidents (Eastern railroads)		1914		google	NYP	https://catalog.hathitrust.org/Record/969583	Full View
Concentration of nonmerchantable iron-bearing materials from the Mesabi Range	University of Minnesota. Mines Experiment Station. United States. Economic Development Administration.		1967		google	MIU	https://catalog.hathitrust.org/Record/1041904	Limited View
Coal resources of district II	Cady, Gilbert H. (Gilbert Haven), b. 1882. United States. Bureau of Mines. University of Illinois (Urbana-Champaign campus). Engineering Experiment Station. Illinois State Geological Survey.	Illinois State Geological Survey, University of Illinois,	1917		google	MIU	https://catalog.hathitrust.org/Record/1042166	Full View
Chemical study of Illinois coals	Parr, Samuel Wilson, 1857-1931. United States. Bureau of Mines. University of Illinois (Urbana-Champaign campus). Engineering Experiment Station. Illinois State Geological Survey.	State geological survey, University of Illinois,	1916		ia	IUIUC	https://catalog.hathitrust.org/Record/1043144	Full View
Analysis of the curricular offerings in several independent liberal arts colleges	McGrath, Earl James, 1902- United States. Office of Education.	Teachers College, Columbia University,	1961		google	MIU	https://catalog.hathitrust.org/Record/1056042	Full View
Use of teacher demonstration teams by a State Department of Education to disseminate information on new educational media	Texas Education Agency. Kinniell, William T. United States. Office of Education.		1963		google	UMN	https://catalog.hathitrust.org/Record/1067884	Full View
Concerto for piano and woodwind quintet, op.53.	Riegger, Wallingford, 1885-1961. Library of Congress. Serge Koussevitzky Music Foundation.	Associated Music Publishers,	1956		google	MIU	https://catalog.hathitrust.org/Record/1099630	Limited View
Report on the diplomatic archives of the Department of State, 1789-1840	McLaughlin, Andrew C. (Andrew Cunningham), 1861-1947. United States. Department of State.	Carnegie Institution of Washington,	1904		google	HVD	https://catalog.hathitrust.org/Record/1168318	Full View
Catalog and table of contents of the Publications of the Michigan Geological and Biological Survey	Michigan. Geological Survey. Geological Survey (U.S.)		1921		google	UIUC	https://catalog.hathitrust.org/Record/1172531	Full View
Churches and voluntary associations in the Chicago Negro community	Drake, St. Clair. United States. Work Projects Administration (Ill.)	W.P.A. district 3,	1940		ia	IUIUC	https://catalog.hathitrust.org/Record/1265041	Full View
Galena guide	Federal Writers' Project.	Sponsored by the City of Galena,	1937		ia	IUIUC	https://catalog.hathitrust.org/Record/1265069	Full View
The Pentagon Papers	United States. Dept. of Defense	Beacon Press	1971		google	WU	https://catalog.hathitrust.org/Record/1267080	Limited View
Preliminary report on the Ohio co-operative topographic survey, November 15, 1903	Ohio. Co-operative topographic survey. Sherman, C. E. (Christopher Elias), 1869-1940. Geological Survey (U.S.)	The Springfield publishing company, state printers,	1904		cornell-ms	COO	https://catalog.hathitrust.org/Record/1271992	Full View
Learning from R-M theory to educational planning	Campbell, Vincent N. United States. Office of Education.	American Institute for Research,	1963		google	MIU	https://catalog.hathitrust.org/Record/1280400	Full View
State educational assessment programs	Educational Testing Service. Educational Resources Information Center (U.S.) Education Commission of the States.		1971		google	MIU	https://catalog.hathitrust.org/Record/1284624	Limited View
The ballad of Baby Doe	Moore, Douglas, 1893-1969. Latouche, John, 1917-1956. Library of Congress. Serge Koussevitzky Music Foundation.	Chappell	1958		uiuc	UIUCL	https://catalog.hathitrust.org/Record/1297367	Limited View
President's Task Force on the Value of the Information Professional	Special Libraries Association. Conference (78th : 1987 : Anaheim, Calif.) United States. President's Task Force on the Value of the Information Professional.	Special Libraries Association,	1987		google	MIU	https://catalog.hathitrust.org/Record/1304422	Limited View
Minnesota incomes, 1938-39.	Minnesota income study. Minnesota Resources Commission (1939-1947) United States. Work Projects Administration (Minn.)	Minnesota Resources commission,	1942		google	UIUC	https://catalog.hathitrust.org/Record/1309979	Full View
European recovery program	United States. Dept. of State.		1948		google	UIUC	https://catalog.hathitrust.org/Record/1312029	Limited View
The Environment--costs, conflicts, action	Dickson, Kenneth L. ed. Cairns, John, 1923- ed. United States. Environmental Protection Agency. Region III. Virginia Polytechnic Institute and State University. Center for Environmental Studies.	M. Dekker,	1974		google	MIU	https://catalog.hathitrust.org/Record/1313836	Limited View
The other war in Vietnam	United States. Agency for International Development.	Agency for International Development,	1966		google	UIUC	https://catalog.hathitrust.org/Record/1319376	Limited View
Changes in commercial systems of foreign nations	United States. Dept. of State.		1843		google	MIU	https://catalog.hathitrust.org/Record/1346199	Full View
Statement of John D. Rockefeller, Jr., before United States Commission on industrial relations, January 25, 1915	Rockefeller, John D., Jr. (John Davison), 1874-1960. United States. Commission on Industrial Relations.		1915		google	NRLF	https://catalog.hathitrust.org/Record/1432261	Full View
Proceedings	Research Conference on College Dropouts, Gatlinburg, Tenn., 1964. Montgomery, James Riley. United States. Office of Education. University of Tennessee (Knoxville campus)	University of Tennessee,	1964		google	MIU	https://catalog.hathitrust.org/Record/1465548	Limited View
Proceedings	Conference on Geologic Problems of San Andreas Fault System, Stanford University, 1967 Grantz, Arthur, Dickinson, William R National Center for Earthquake Research Stanford University. School of Earth Sciences	School of Earth Sciences, Stanford University,	1968		google	UCSD	https://catalog.hathitrust.org/Record/1488765	Limited View
A contribution to American thalassography	Agassiz, Alexander, 1835-1910. U.S. Coast and Geodetic Survey.	Houghton, Mifflin and company,	1888		google	NRLF	https://catalog.hathitrust.org/Record/1490475	Full View
Comparative mammalian cytogenetics	Conference on Comparative Mammalian Cytogenetics (1968 : Dartmouth Medical School) Benirschke, Kurt. National Institute of Child Health and Human Development (U.S.) Dartmouth Medical School.	Springer-Verlag,	1969		google	UCSD	https://catalog.hathitrust.org/Record/1492108	Limited View
Mammal survey of northwestern Pennsylvania	Richmond, Neil D. Roslund, Harry R. U.S. Fish and Wildlife Service. Pennsylvania Game Commission.	Pennsylvania Game Commission,	1949		google	UIUC	https://catalog.hathitrust.org/Record/1502576	Limited View
Mammal survey of southeastern Pennsylvania	Roberts, Harvey A. Early, Robert C. U.S. Fish and Wildlife Service. Pennsylvania Game Commission.	Pennsylvania Game Commission,	1952		google	UIUC	https://catalog.hathitrust.org/Record/1502577	Limited View
