title	author	publisher	pub_date	sudoc	digagent	contributor	ht_link	availability
Army ROTC	United States. Army. Reserve Officers' Training Corps.		1976	D 101.2:R 31/32	google	UCR	https://catalog.hathitrust.org/Record/101819516	Full View
Tourism, agreement between the United States of America and Mexico signed at Mexico April 18, 1983	Mexico. United States. 1983 Apr. 18. Mexico. United States. Department of State.	Dept. of State : For sale by the Supt. of Docs., U.S. G.P.O.,	1986	S 9.10:10821	google	UCR	https://catalog.hathitrust.org/Record/102430741	Full View
Prisoner transfer	France. United States. 1983 Jan. 25. France. United States. Department of State.	Dept. of State : For sale by the Supt. of Docs., U.S. G.P.O.,	1986	S 9.10:10823	google	UCR	https://catalog.hathitrust.org/Record/102430742	Full View
Prisoner transfer	United States. (1983) United States. Department of State.	Dept. of State : For sale by the Supt. of Docs., U.S. G.P.O.,	1986	S 9.10:10824	google	UCR	https://catalog.hathitrust.org/Record/102430743	Full View
Double taxation	Sweden. United States. 1983 June 13. Sweden. United States. Department of State.	Dept. of State : For sale by the Supt. of Docs., U.S. G.P.O.,	1986	S 9.10:10826	google	UCR	https://catalog.hathitrust.org/Record/102430744	Full View
In the matter of The Special February 1977 Grand Jury	United States of America Contributor	United States Court of Appeals for the Seventh Circuit,	1978		google	UIUC	https://catalog.hathitrust.org/Record/102454475	Limited View
Advisorship final report community development	United States. Agency for International Development. Natural Resources Management Project (Indonesia) Indonesia. Departemen Kehutanan. Indonesia. Badan Perencanaan Pembangunan Nasional.	BAPPENAS,	1997		google	UCBK	https://catalog.hathitrust.org/Record/102460267	Limited View
Kohr v. Allegheny Airlines, Inc	Carey Contributor LeMay Contributor GECC Leasing Corp. Contributor Forth Corporation Contributor United States of America Contributor	United States Court of Appeals for the Seventh Circuit,	1977		google	UIUC	https://catalog.hathitrust.org/Record/102455288	Limited View
Pollock v. Interstate Commerce Commission	United States of America Contributor	United States Court of Appeals for the Seventh Circuit,	1977		google	UIUC	https://catalog.hathitrust.org/Record/102455300	Limited View
Human problems in disasters	Institute for the Study of Destructive Behavior and Suicide Prevention Center. National Institute of Mental Health (U.S.)	Dept. of Health, Education, and Welfare, Public Health Service, Alcohol, Drug Abuse, and Mental Health Administration, National Institute of Mental Health,	1978	HE 20.8102:D 63	google	UCBK	https://catalog.hathitrust.org/Record/102460837	Full View
