title	author	publisher	pub_date	sudoc	digagent	contributor	ht_link	availability
Working Toward Independence: The Administration's Plan To Build..., Hearing... Serial No. 107-54... Committee On Education & The Workforce, House Of Representatives... 107th Congress, 2nd Session	United States. Congress. House. Committee on Education and Labor.	s.n.,	2003	Y 4.ED 8/1:107-54	google	MIU	https://catalog.hathitrust.org/Record/102499811	Full View
National organizations issues resource book	White House Conference on Families. Baltimore, etc., 1980.	s.n.	1980	Y 3.W 58/22:2 Or 3	google	MIU	https://catalog.hathitrust.org/Record/720201	Limited View
Niger; official standard names approved by the United States Board on Geographic Names	United States. Office of Geography. United States Board on Geographic Names.	U.S. G.P.O.,	1966		google	MIU	https://catalog.hathitrust.org/Record/2524233	Full View
Catalog of federal paperwork requirements	United States. Small Business Administration. Office of Chief Counsel for Advocacy.	The Office: for sale by the Supt. of Docs., U.S. Govt. Print. Off.,	1979		google	MIU	https://catalog.hathitrust.org/Record/230110	Full View
CC CD-ROM users manual	Geological Survey (U.S.)	The Survey : For sale by the Supt. of Docs, U.S. G.P.O.,	1995	I 19.120:C 28/man.	google	MIU	https://catalog.hathitrust.org/Record/3120345	Full View
Development document for effluent limitations guidelines and new source performance standards for the major inorganic products segment of the inorganic chemicals manufacturing point source category	United States. Environmental Protection Agency. Effluent Guidelines Division.	Effluent Guidelines Division, Office of Air and Water Programs, U.S. Environmental Protection Agency,	1974		google	MIU	https://catalog.hathitrust.org/Record/3177603	Full View
Revegetating processed oil shale and coal spoils on semi-arid lands	Frischknecht, Neil C., 1918- Ferguson, Robert B., 1928- Industrial Environmental Research Laboratory (Cincinnati, Ohio)	Industrial Environmental Research Laboratory, Office of Research and Development, U.S. Environmental Protection Agency ; available through the National Technical Information Service,	1980		google	MIU	https://catalog.hathitrust.org/Record/3164681	Full View
Economic impact analysis of proposed effluent limitations guide-lines, new source performance standards, and pretreatment standards, for the coal mining point source category	United States. Environmental Protection Agency. Office of Water Regulations and Standards.	The Office ; Available through the U.S. Environmental Protection Agency, Economic Analysis Staff,	1980	EP 1.8/4:C 63/v.3, EP 1.8/4:C 63/v.2, EP 1.8/4:C 63/v.1	google	MIU	https://catalog.hathitrust.org/Record/3182013	Full View
Environmental considerations of selected energy conserving manufacturing process options	Skovronek, H. S. Industrial Environmental Research Laboratory (Cincinnati, Ohio)	Industrial Environmental Research Laboratory, Office of Research and Development, U.S. Environmental Protection Agency,	1976		google	MIU	https://catalog.hathitrust.org/Record/3443659	Full View
Proving federal crimes	United States. Office of the United States Attorney for the Southern District of Ohio. Cissell, James C.	U.S. Govt. Print. Off.,	1980		google	MIU	https://catalog.hathitrust.org/Record/684143	Full View
Development document for proposed effluent limitations guidelines, new source performance standards, and pretreatment standards for the inorganic chemicals manufacturing point source category	United States. Environmental Protection Agency. Effluent Guidelines Division.	U.S. Environmental Protection Agency, Office of Water and Waste Management, Effluent Guidelines Division,	1980		google	MIU	https://catalog.hathitrust.org/Record/3508187	Full View
Bumble bees of the western United States	Koch, Jonathan. Williams, Paul (Paul Hugh) Strange, James. National Fish and Wildlife Foundation (U.S.) Pollinator Partnership. United States. Agricultural Research Service. United States. Forest Service.	U.S. Dept. of Agriculture, Forest Service : Agriculture Research Service ; Pollinator Partnership,	2012	A 13.2:B 39/9	google	MIU	https://catalog.hathitrust.org/Record/11800445	Full View
Federal population censuses, 1790-1890	United States. National Archives and Records Service.	National Archives Trust Fund Board,	1979		google	MIU	https://catalog.hathitrust.org/Record/402882	Full View
What's cooking, Uncle Sam?	Kamps, Alice D., 1963-	Foundation for the National Archives,	2011		google	MIU	https://catalog.hathitrust.org/Record/11214845	Full View
Effect of x-ray irradiation on muscle fatigue in rats	Haley, Thomas J., McCormick, W. G., author. McCulloh, E. F., author. Komesu, N., author. Flesher, A. M., author. University of California, Los Angeles, issuing body. U.S. Atomic Energy Commission, issuing body.	University of California,	1957	Y 3.AT 7:22/UCLA-409	google	GWLA	https://catalog.hathitrust.org/Record/102479044	Full View
Occurrence and control of the hexosemonophosphate shunt in normal and leucemic leucocytes	Beck, William Samson, 1923-, University of California, Los Angeles, issuing body. U.S. Atomic Energy Commission, issuing body.	University of California,	1957	Y 3.AT 7:22/UCLA-415	google	GWLA	https://catalog.hathitrust.org/Record/102479049	Full View
The radioisotope osteogram	MacDonald, Norman S., University of California, Los Angeles, issuing body. U.S. Atomic Energy Commission, issuing body.	University of California, Department and Laboratories of Nuclear Medicine and Radiation Biology,	1959	Y 3.AT 7:22/UCLA-449	google	GWLA	https://catalog.hathitrust.org/Record/102479067	Full View
Early and late histological changes from ©�-irradiation by Sr⁹⁰ beads implanted within the rat femur	Detrick, L. E., Haley, Thomas J., author. Dunlap, A. K., author. Miles, C. P., author. Upham, H. C., author. University of California, Los Angeles, issuing body. U.S. Atomic Energy Commission, issuing body.	University of California, Department and Laboratories of Nuclear Medicine and Radiation Biology,	1961	Y 3.AT 7:22/UCLA-470	google	GWLA	https://catalog.hathitrust.org/Record/102479074	Full View
Blood brain barrier behavior during temporary concussion	Cassen, Benedict, Neff, Richard, author. University of California, Los Angeles, issuing body. U.S. Atomic Energy Commission, issuing body.	University of California, Department and Laboratories of Nuclear Medicine and Radiation Biology,	1960	Y 3.AT 7:22/UCLA-453	google	GWLA	https://catalog.hathitrust.org/Record/102479070	Full View
